,meaning,KEY-MEANING
2216,Obok,NEAR
2217,Fajnie,COOL
2218,Arbuz,WATERMELON
2219,Jajko,EGG
2220,Nikola,PERSON
2221,Jeść ,EAT
2222,Bam,BAM
2223,Babcia,GRANDMA
2224,Bajka,TALE
2225,Bułka ,BUN
2226,Auto,CAR
2227,Daj,GIVE
2228,Gilgotki,TICKLING
2229,Pies,DOG
2230,Pif paf,GUN
2231,Kacper,PERSON
2232,Nikola,PERSON
2233,Kura,HEN
2234,Mama,MOM
2235,Kot,CAT
2236,Myj myj,WASHING
2237,Pizza,PIZZA
2238,Sio,GO-AWAY
2239,Tak,YES
2240,Tata,DAD
2241,Matylda,PERSON
2242,Filip,PERSON
2243,Ciocia,AUNT
2244,Bing,CHARACTER
2245,Jajko,EGG
2246,Atam,PERSON
2247,Nie ma,GONE
2248,Nie nie,NO
2249,Kupka,POOP
2250,Dziura,HOLE
2251,Daj,GIVE
2252,Brawo,BRAVO
2253,Babka z piaski,SANDCASTLE
2254,"Zwierzęta różne tj. Krowa, koza, kon",COW
2255,"Zwierzęta różne tj. Krowa, koza, kon",GOAT
2256,"Zwierzęta różne tj. Krowa, koza, kon",HORSE
2257,Ptak,BIRD
2258,Pociąg ,TRAIN
2259,Dziura,HOLE
2260,Ewa,PERSON
2261,Gumka,HAIRBAND
2262,Hipopotam,HIPPO
2263,Ryba,FISH
2264,Kąpiel ,BATH
2265,Kółko,CIRCLE
2266,Koza,GOAT
2267,Pani lub Pan,LADY
2268,Pani lub Pan,SIR
2269,Mówienie i Pokazywanie palcem gdzie chce iść ,THERE
2270,Rychu,UNKNOWN
2271,Misiu,TEDDY-BEAR
2272,Wskazuje palcem,HERE
2273,Kot,CAT
2274,Piłka ,BALL
2275,Ała,HURTS
2276,Pies,DOG
2277,Kura,HEN
2278,Krowa,COW
2279,Zabawa w a kuku,PLAY
2280,Buty,SHOES
2281,Piłka ,BALL
2282,Okulary,GLASSES
2283,Otworzyć /odkrecic,OPEN
2284,Banan,BANANA
2285,Ja,SELF
2286,Krowa,COW
2287,Otworzyć ,OPEN
2288,Żłobek,NURSERY
2289,Dom,HOME
2290,Gwiazda,STAR
2291,Nie,NO
2292,Przepraszam ,SORRY
2293,Daj/wedź ,GIVE
2294,Daj/wedź ,TAKE
2295,Malina,RASPBERRY
2296,Trójkat,TRIANGLE
2297,Trójkąt ,TRIANGLE
2298,Ogon,TAIL
2299,Sam,BY-MYSELF
2300,Dziękuję ,THANK-YOU
2301,Słoń ,ELEPHANT
2302,Jeszcze,MORE
2303,Jola,PERSON
2304,Julia,PERSON
2305,Kamień,STONE
2306,Kamień,STONE
2307,"Koło, opona",CIRCLE
2308,"Koło, opona",WHEEL
2309,Laura,PERSON
2310,Mama,MOM
2311,Nina,PERSON
2312,Koparka,EXCAVATOR
2313,Picie,DRINK
2314,Pada deszcz,RAIN
2315,Kalus (nazwisko),PERSON
2316,Moja moja (głaskanie kogoś),MY
2317,Agnieszka,PERSON
2318,Ala,PERSON
2319,Auto,CAR
2320,Gorące,HOT
2321,Babcia,GRANDMA
2322,Burza,STORM
2323,Czaruś,PERSON
2324,Czytać (poczytaj mi),READ
2325,Daj,GIVE
2326,Dziadek,GRANDPA
2327,Pies,DOG
2328,Heniek,PERSON
2329,"Idziemy (choddźmy na dwór, na spacer)",GO
2330,Odgłos jadącej karetki/policji na sygnale,AMBULANCE
2331,Odgłos jadącej karetki/policji na sygnale,POLICE
2332,Jajko/jajka,EGG
2333,Kogut,COCK
2334,Kura,HEN
2335,Kupa,POOP
2336,Mamusia,MOM
2337,"Masz, wedź",HAVE
2338,Kot ,CAT
2339,Mucha,FLY
2340,Mus do jedzenia z tubki,MOUSSE
2341,Nie,NO
2342,Nos,NOSE
2343,O nie,EXCLAMATION
2344,Papa,BYE
2345,Patrz tam ,LOOK
2346,Pupa,BOTTOM
2347,Sikanie,PEE
2348,Słyszysz,HEAR
2349,Odgłos lecącego samolotu,PLANE
2350,Tak,YES
2351,Tam,THERE
2352,Tańczenie,DANCE
2353,Tatuś,DAD
2354,Żaba,FROG
2355,"Zimno, zimny",COLD
2356,Podnieś mnie,UP
2357,But,SHOES
2358,Usiadłem,SIT
2359,Fajnie,COOL
2360,Koniec,END 
2361,"Mycie, sprzątanie",CLEANING
2362,"Mycie, sprzątanie",WASHING
2363,"Nie ma, zjadłem",GONE
2364,Nóż,KNIFE
2365,Sól,SALT
2366,To,THIS
2367,Misiu przytulanka,TEDDY-BEAR
2368,Madzia,PERSON
2369,Lampa,LAMP
2370,Pada deszcz,RAIN
2371,Proszę (przy podawaniu),HERE-YOU-GO
2372,śmieciarka,GARBAGE-TRUCK
2373,Autobus,BUS
2374,Lew,LION
2375,Ddźwig,CRANE
2376,Piasek,SAND
2377,Dad,DAD
2378,Cow,COW
2379,"Fairy tale, reading",READ
2380,"Fairy tale, reading",TALE
2381,"Something falls down, hits, or loud noise",BAM
2382,"Something falls down, hits, or loud noise",BAM
2383,Dad,DAD
2384,Dad,DAD
2385,"Sound of a car, sound of electric equipment (e.g., blender, washing machine), riding (verb)",BLENDER
2386,"Sound of a car, sound of electric equipment (e.g., blender, washing machine), riding (verb)",CAR
2387,"Sound of a car, sound of electric equipment (e.g., blender, washing machine), riding (verb)",DRIVE
2388,"Sound of a car, sound of electric equipment (e.g., blender, washing machine), riding (verb)",WASHING-MACHINE
2389,Vehicle,VEHICLE
2390,Vehicle,VEHICLE
2391,Four-legged animals,ANIMALS
2392,Eggs,EGG
2393,Eggs,EGG
2394,Mum,MOM
2395,Mum,MOM
2396,Trash,TRASH
2397,Doll,DOLL
2398,Grandma,GRANDMA
2399,Bye bye,BYE
2400,Grandpa,GRANDPA
2401,Sheep,SHEEP
2402,Sleep,SLEEP
2403,Cat,CAT
2404,Rat,RAT
2405,Goat,GOAT
2406,"To eat, to drink",DRINK
2407,"To eat, to drink",EAT
2408,Hot,HOT
2409,Cold,COLD
2410,Lion/tiger,LION
2411,Lion/tiger,TIGER
2412,Wolf,WOLF
2413,"Plane, to fly",FLYING
2414,"Plane, to fly",PLANE
2415,Butter (masło),BUTTER
2416,Owl,OWL
2417,Snake,SNAKE
2418,Yes,YES
2419,Sweet potato,SWEET-POTATO
2420,Drink/to drink,DRINK
2421,"Chicken, mouse, rat",CHICKEN
2422,"Chicken, mouse, rat",MOUSE
2423,"Chicken, mouse, rat",RAT
2424,"Horse, donkey",DONKEY
2425,"Horse, donkey",HORSE
2426,Bibi - name,PERSON
2427,Jasno,BRIGHT
2428,Jaś - imię,PERSON
2429,Magda - imię,PERSON
2430,Maja - imię,PERSON
2431,Marta - imię,PERSON
2432,Miś,TEDDY-BEAR
2433,Nie (francuskie zaprzeczenie),NO
2434,"I-o (karetka, policja, straż pożarna)",AMBULANCE
2435,"I-o (karetka, policja, straż pożarna)",FIRE-BRIGADE
2436,"I-o (karetka, policja, straż pożarna)",POLICE
2437,Tak,YES
2438,Małpa,MONKEY
2439,Mleko,MILK
2440,Kap,RAIN
2441,Mar - imię,CHARACTER
2442,Max - imię,PERSON
2443,"Rana, ""ałka""",WOUND
2444,Metro,UNDERGROUND
2445,Pan,MAN
2446,Piłka,BALL
2447,Ptak,BIRD
2448,Autobus,BUS
2449,Jabłko (fr),APPLE
2450,Ktoś/coś jest ?cacy?,GOOD
2451,?bach?,BAM
2452,Banan,BANANA
2453,Dorosła osoba,ADULT
2454,Babcia,GRANDMA
2455,Zrobić kawę z ekspresu,COFFEE-MACHINE
2456,Dziadek,GRANDPA
2457,Czyszczenie noska (aspirator do odkurzacza),NASAL-ASPIRATOR
2458,"Lalka, mała dziewczynka",DOLL
2459,"Lalka, mała dziewczynka",GIRL
2460,Mama,MOM
2461,Tata,DAD
2462,Tata,DAD
2463,"Szczekanie psa, pies",DOG
2464,"reakcja po tym, jak się lekko uderzyła",HURTS
2465,Niedobre ,DISGUSTING
2466,Samochód ,CAR
2467,Nie,NO
2468,Ciocia,AUNT
2469,Tata,DAD
2470,Imię ,PERSON
2471,Spać,SLEEP
2472,Zapiąć (od ddźwięku sprzączki pasów fotelika),FASTEN
2473,Samochód ,CAR
2474,Iga,PERSON
2475,inne,OTHER
2476,Am (jedzenie),FOOD
2477,Kiwi,KIWI
2478,wieża,TOWER
2479,Bluza,SWEATSHIRT
2480,Kółka,CIRCLE
2481,"Piłeczki, chrupki w kształcie kulek",BALL
2482,"Piłeczki, chrupki w kształcie kulek",CRISPS
2483,Miau/ maiuczenie,CAT
2484,Muu,COW
2485,Wózek ,STROLLER
2486,Mały ,SMALL
2487,Tak,YES
2488,Butelka z mlekiem,BOTTLE
2489,A kuku (zabawa),PEEKABOO
2490,Bańki mydlane,BUBBLES
2491,Puzzle,PUZZLE
2492,Brudna,DIRTY
2493,Banan,BANANA
2494,Biały,WHITE
2495,Czarny,BLACK
2496,"Pożegnanie, spacer",BYE
2497,Kicia Kocia (postać z bajki),CHARACTER
2498,Pupa,BOTTOM
2499,Drzwi,DOOR
2500,Drzwi,DOOR
2501,Gryzak,TEETHER
2502,Kasza,GROATS
2503,Oko,EYE
2504,Idzie/ iść,GO
2505,Zupa,SOUP
2506,Butelka z mlekiem (butla),BOTTLE
2507,Pianka (spienione mleko),FOAM
2508,"Huśtać, huśtawka",SWING
2509,Buty,SHOES
2510,Brwi,EYEBROWS
2511,Chcę,WANT
2512,Papcie/ kapcie,SLIPPERS
2513,1. Tubka (z musem) 2. Pupa,BOTTOM
2514,1. Tubka (z musem) 2. Pupa,SMOOTHIE
2515,Buty,SHOES
2516,Czapka,CAP
2517,Ciastko,COOKIE
2518,"Smoczek, jeść ",PACIFIER
2519,"Smoczek, jeść ",EAT
2520,Czysta,CLEAN
2521,Wystarczy/ w znaczeniu ?najedzona?,ENOUGH
2522,?do góry?,UP
2523,Dziura,HOLE
2524,światło/ zaświecić światło,LIGHT
2525,Banan,BANANA
2526,Buzia,FACE
2527,Zajrzy,LOOK
2528,"Tam ( wskazanie, gdzie chce iść)",THERE
2529,Zegar,CLOCK
2530,Siusiu,PEE
2531,Kupa,POOP
2532,Drugi ,ANOTHER
2533,Chrupki,PUFFCORN
2534,Spadło/ przewróciło się,BAM
2535,Daj,GIVE
2536,"Bransoletka, gumka ",BRACELET
2537,"Bransoletka, gumka ",HAIRBAND
2538,Ma,HAVE
2539,Nie ma,GONE
2540,Proszę ,PLEASE
2541,Tu ( wskazanie miejsca),HERE
2542,Arbuz,WATERMELON
2543,Rower,BIKE
2544,(Przekroić) na pół,HALF
2545,Banan,BANANA
2546,Szalik,SCARF
2547,Opaska,HAIRBAND
2548,Gruszka,PEAR
2549,Kot,CAT
2550,Pies,DOG
2551,Puk puk,KNOCK-KNOCK
2552,Samochód  na sygnale ,AMBULANCE
2553,Samochód  na sygnale ,FIRE-BRIGADE
2554,Samochód  na sygnale ,POLICE
2555,Tam,THERE
2556,Drukarka,PRINTER
2557,Ucho,EAR
2558,Nie,NO
2559,Tak,YES
2560,Duży,BIG
2561,Tutaj,HERE
2562,Fale,WAVE
2563,Drabina,LADDER
2564,Miś ,TEDDY-BEAR
2565,Brawo,BRAVO
2566,Czarny,BLACK
2567,Biały,WHITE
2568,Szary,GREY
2569,Wstań,GET-UP
2570,Lis,FOX
2571,Kwiatki,FLOWER
2572,Oddaj,GIVE-BACK
2573,Pasek,BELT
2574,Wstań,GET-UP
2575,Piłka,BALL
2576,Borówki,BLUEBERRY
2577,Patyk,STICK
2578,Trawa,GRASS
2579,Idzie,GO
2580,Usiąddź,SIT
2581,Okno,WINDOW
2582,Oddaj,GIVE-BACK
2583,Odejddź,GO-AWAY
2584,Zegar,CLOCK
2585,Czekaj,WAIT
2586,Wieszak,HANGER
2587,Dzwoni telefon,RING
2588,Szyja,NECK
2589,Brzuch,BELLY
2590,Głowa,HEAD
2591,Pić,DRINK
2592,Siukaj,SEARCH
2593,Drabina,LADDER
2594,Brzuch,BELLY
2595,Głowa,HEAD
2596,Kolano,KNEE
2597,Skarpetka,SOCK
2598,Leci,FLYING
2599,Ptaszek,BIRD
2600,Palec,FINGER
2601,Dziękuję ,THANK-YOU
2602,Będzie,WILL-BE
2603,Jest,TO-BE
2604,Myje,WASHING
2605,Kuchnia,KITCHEN
2606,Domofon,ENTRY-PHONE
2607,Lis,FOX
2608,Myszka,MOUSE
2609,Widelec,FORK
2610,Para (wodna),STEAM
2611,Kapcie,SLIPPERS
2612,Zagasić ,PUT-OUT
2613,Miga,BLINK
2614,Para,STEAM
2615,Moje,MY
2616,"Sama, samodzielnie",BY-MYSELF
2617,Wyżej,HIGHER
2618,Przynieś ,BRING
2619,Babcia,GRANDMA
2620,Basen,SWIMMING-POOL
2621,Buzia ,FACE
2622,Głowa,HEAD
2623,Umyj,WASH
2624,Wyżej,HIGHER
2625,Wujek ,UNCLE
2626,Brudny,DIRTY
2627,Puzzle,PUZZLE
2628,Pies,DOG
2629,Rybka,FISH
2630,Sowa,OWL
2631,Schowaj,HIDE
2632,Noga,LEG
2633,Ręka,HAND
2634,Stopa,FEET
2635,Dzieci,CHILDREN
2636,Bawić,PLAY
2637,Ubranko,CLOTHES
2638,Sweter,SWEATER
2639,Pralka,WASHING-MACHINE
2640,Pranie ,WASH
2641,Odpiąć,UNFASTEN
2642,Umyć,WASH
2643,Kaptur,HOOD
2644,Twoje,YOUR
2645,Wózek,STROLLER
2646,Układać,ARRANGE
2647,Pływać,SWIM
2648,Skórka,PEEL
2649,"Machać jakimś przedmiotem, aby grzechotał",RATTLE
2650,Odwróć,TURN-AROUND
2651,Włos,HAIR
2652,Kaczka,DUCK
2653,Ciepłe ,WARM
2654,Zimne,COLD
2655,Pantsy / Majtki,UNDERWEAR
2656,Kitka,PONYTAIL
2657,Otwórz ,OPEN
2658,Noga/ nogi,LEG
2659,Żabka,FROG
2660,Boli,HURTS
2661,Igła,NEEDLE
2662,Jem,EAT
2663,Konik,HORSE
2664,Plasterek,BAND-AID
2665,Spodnie,TROUSERS
2666,Woda,WATER
2667,Otworzy,OPEN
2668,Żłobek,NURSERY
2669,Kuchnia,KITCHEN
2670,Małpka,MONKEY
2671,ślimak,SNAIL
2672,Kura,HEN
2673,Biedronka,LADYBIRD
2674,Mokry,WET
2675,świnka,PIG
2676,Pusty,EMPTY
2677,Pełny,FULL
2678,Chmurka,CLOUD
2679,Słonko,SUN
2680,Jabłko,APPLE
2681,Nóżka,LEG
2682,Jedzie,DRIVE
2683,Chcesz,WANT
2684,Autobus,BUS
2685,Zoo,ZOO
2686,Sos,SAUCE
2687,Nocnik,POTTY
2688,Golić,SHAVE
2689,Pingwin,PENGUIN
2690,Odpiąć,UNFASTEN
2691,Autobus,BUS
2692,Było/ była,TO-BE
2693,Sowa,OWL
2694,Jutro,TOMORROW
2695,Piasek,SAND
2696,Zjeżdżać ze zjeżdżalni/ zjeżdżalnia,SLIDE
2697,Krzyczy,SHOUT
2698,Zielony,GREEN
2699,Czerwony,RED
2700,Żółty,YELLOW
2701,Zgasić ,TURN-OFF
2702,Dobrze (potwierdzenie),OK
2703,Pije,DRINK
2704,śliniak,BIB
2705,Nalać,POUR
2706,Odpiąć,UNFASTEN
2707,Włączyć muzykę/ piosenkę,TURN-ON
2708,Piosenka/ taniec,DANCE
2709,Piosenka/ taniec,SONG
2710,Nałożyć,PUT-ON
2711,Wyjść,GO-OUT
2712, Burak,BEETROOT
2713,Prysznic ,SHOWER
2714,Zmienić pieluchę,CHANGE
2715,Nawilżacz,HUMIDIFIER
2716,Chłopczyk,BOY
2717,Dom,HOME
2718,Domek,HOME
2719,Szukać,SEARCHING
2720,Usiąść,SIT
2721,Szczeknie psa,DOG
2722,Szpinak,SPINACH
2723,Uwaga,ATTENTION
2724,Zamknąć ,CLOSE
2725,Koniec,END 
2726,Moje,MY
2727,Konik,HORSE
2728,Nosić,CARRY
2729,Poszła,GO
2730,Wziąć na ręce,TAKE
2731,Rowerek,BIKE
2732,Golas ,NAKED
2733,Malinki,RASPBERRY
2734,Schody,STAIRS
2735,"Wózek, samochód, motor",CAR
2736,"Wózek, samochód, motor",MOTORCYCLE
2737,"Wózek, samochód, motor",STROLLER
2738,Bańki mydlane,BUBBLES
2739,Brudna,DIRTY
2740,Pianka (spienione mleko),FOAM
2741,Banan,BANANA
2742,Rower,BIKE
2743,Opaska,HAIRBAND
2744,Dzwoni telefon,RING
2745,Obok,NEAR
2746,Palec,FINGER
2747,Przodem,FRONT
2748,Grają (w piłkę),PLAY
2749,"Plac zabaw, huśtawka, huśtać się",PLAYGROUND
2750,"Plac zabaw, huśtawka, huśtać się",SWING
2751,"Plac zabaw, huśtawka, huśtać się",SWINGING
2752,Tyłem,BACK
2753,Owieczka,SHEEP
2754,Pociąg,TRAIN
2755,Biega,RUNNING
2756,Pukać,KNOCK-KNOCK
2757,Urwałaś/ urwałam,TEAR-OFF
2758,W pokoju,ROOM
2759,Balonik,BALLOON
2760,Helikopter,HELICOPTER
2761,Jabłko,APPLE
2762,Igła ,NEEDLE
2763,Mokre,WET
2764,Deszczyk,RAIN
2765,Kredki,CRAYONS
2766,Malinki,RASPBERRY
2767,Morele,APRICOT
2768,Brokuł,BROCCOLI
2769,Uciekł,RUN-AWAY
2770,Urwałaś,TEAR-OFF
2771,Metka,TAG
2772,Ciemno,DARK
2773,Odkryć,DISCOVER
2774,Szybciej,FASTER
2775,Komputer,COMPUTER
2776,Otwierać,OPEN
2777,Makaron,PASTA
2778,Mięsko,MEAT
2779,Ogon,TAIL
2780,Chora,SICK
2781,Doktor,DOCTOR
2782,Baterie,BATTERY
2783,Z tyłu,BEHIND
2784,Zakręcić,TWIST
2785,Odkręcić,OPEN
2786,Zamknij,CLOSE
2787,"Zgasić, zamknąć",TURN-OFF
2788,Helikopter,HELICOPTER
2789,Zając/ ?przewrócić się i złapać zająca? ,RABBIT
2790,Założyć spodnie na pupę,DRESS
2791,Ziewa,YAWNING
2792,Nitka,THREAD
2793,Kupić,BUY
2794,Obciąć,CUT
2795,Kapelusz,HAT
2796,Nalać,POUR
2797,Łokieć,ELBOW
2798,Żółwik,TURTLE
2799,Łokieć,ELBOW
2800,Żółty,YELLOW
2801,Kokardka,BOW-ORNAMENT
2802,Mucha,FLY
2803,Bębenek,DRUM
2804,Kapelusz,HAT
2805,Cukinia,COURGETTE
2806,Pasuje,FIT
2807,Zabić (muchę),KILL
2808,Do dziurki,HOLE
2809,Komar,MOSQUITO
2810,Okulary,GLASSES
2811,Odpinać,UNFASTEN
2812,Parówka,SAUSAGE
2813,Smoczek,PACIFIER
2814,Sznurek,STRING
2815,Telefon,PHONE
2816,Zapiąć,FASTEN
2817,Marchewka,CARROT
2818,Daleko,FAR
2819,Kolory,COLOR
2820,Wszystkie,ALL
2821,Nie idziemy,GO
2822,Motylek,BUTTERFLY
2823,Na płasko,FLAT
2824,Niebieski,BLUE
2825,Pudełko,BOX
2826,śmieciarka,GARBAGE-TRUCK
2827,Trójkąt,TRIANGLE
2828,Uważaj,WATCH-OUT
2829,Woreczek,SACK
2830,Telefon,PHONE
2831,Antena,AERIAL
2832,Do widzenia,GOOD-BYE
2833,Torebak,BAG
2834,Krew,BLOOD
2835,Roki,CHARACTER
2836,Auto,CAR
2837,Auto,CAR
2838,Książeczka,BOOK
2839,Krokodyl,CROCODILE
2840,Pyszne,YUMMY
2841,Ciastko,COOKIE
2842,Jajo,EGG
2843,Lew,LION
2844,Tygys,TIGER
2845,Ryba,FISH
2846,Woda,WATER
2847,Banan,BANANA
2848,Nieddźwieddź,BEAR
2849,Synuś,SON
2850,Kolor,COLOR
2851,Bigos ,BIGOS
2852,Kocham,LOVE
2853,Choddź,COME
2854,Pić,DRINK
2855,Jedziemy ,DRIVE
2856,Zabierz ,TAKE
2857,Oko,EYE
2858,Kangur ,KANGAROO
2859,Lokomotywa,ENGINE
2860,Żaba,FROG
2861,Witam,HELLO
2862,Koło ,CIRCLE
2863,Kanapę,COUCH
2864,Kundziu,PET
2865,Konrad,PERSON
2866,Kij,STICK
2867,Dzień,DAY
2868,Brzuch,BELLY
2869,światło ,LIGHT
2870,Mikołaj ,PERSON
2871,Mysz,MOUSE
2872,Dym,SMOKE
2873,Zjeżdżalnia,SLIDE
2874,Słońce,SUN
2875,Dym,SMOKE
2876,Struś ,OSTRICH
2877,Tipi ,TIPI
2878,Dumle,CANDY
2879,Nauka angielskiego,ENGLISH-LESSON
2880,Noga,LEG
2881,Wino,WINE
2882,Cola,COCA-COLA
2883,Ddźwig,CRANE
2884,Franio,SELF
2885,Drabina,LADDER
2886,Cyrk,CIRCUS
2887,Energii,ENERGY
2888,Dzięcioł ,WOODPECKER
2889,Dziękuje ,THANK-YOU
2890,Miód ,HONEY
2891,Kiwi,KIWI
2892,Osioł ,DONKEY
2893,Plaster,BAND-AID
2894,Przepraszam,SORRY
2895,Robot,ROBOT
2896,Film,FILM
2897,Happy ,HAPPY
2898,Tory,TRACK
2899,Naleśniki mamy,PANCAKE
2900,Szyja,NECK
2901,Grad,HAIL
2902,Deszcz,RAIN
2903,Chyba,MAYBE
2904,Sól ,SALT
2905,Prąd ,ELECTRIC-CURRENT
2906,Dach,ROOF
2907,Lokomotywa,ENGINE
2908,Żar ,HEAT
2909,śmieci,GARBAGE
2910,Stopa,FEET
2911,Hipopotam,HIPPO
2912,Olej,OIL
2913,ślimak,SNAIL
2914,Maść,OINTMENT
2915,Deszcz,RAIN
2916,Chłopiec ,BOY
2917,Mars,MARS
2918,Saturn,SATURN
2919,Ułan,LANCER
2920,Ziemia,EARTH/GROUND
2921,Jowisz,JUPITER
2922,Wenus,VENUS
2923,Deszcz,RAIN
2924,Ptaki,BIRD
2925,Ryba,FISH
2926,Delfin,DOLPHIN
2927,Ratunku,HELP
2928,Owsianka,OATMEAL
2929,Jajecznica,SCRAMBLED-EGGS
2930,Palenisko,FIRE
2931,Kabina maszynisty,CABIN
2932,Silnik,ENGINE
2933,Zbieracz pary,STEAM-COLLECTOR
2934,Samolot,PLANE
2935,Zegar,CLOCK
2936,Skręca ,TURNS
2937,Cat,CAT
2938,She wants to eat something. ,FOOD
2939,Let's go. Let's start to move. ,GO
2940,Babcia,GRANDMA
2941,Father,DAD
2942,Wheel / something round,WHEEL
2943,Samochód ,CAR
2944,No / disagreement,NO
2945,Koala - animal ,KOALA
2946,Poo,POOP
2947,Big,BIG
2948,To eat / especially give food to somebody ,EAT
2949,Mother ,MOM
2950,Pola - name of my child,SELF
2951,Ptak / bird ,BIRD
2952,Cow / krowa ,COW
2953,Bye bye / do widzenia ,BYE
2954,I ha ha / horse / koń,HORSE
2955,To / this thing,THIS
2956,"Małe dziecko, dzidzia ",BABY
2957,Halo? Picking up a phone call. ,HELLO
2958,An eye,EYE
2959,Tapu Tapu / walking ,WALK
2960,Purple / color,PURPLE
2961,U góry ,UP
2962,Sound of a hen,HEN
2963,Moon / księżyc ,MOON
2964,Here,HERE
2965,Apple,SNEEZE
2966,But,SHOES
2967,Dużo,A-LOT
2968,Kuku / jakieś miejsce gdzie coś boli ,HURTS
2969,I,ME
2970,To drink / I'm drinking ,DRINK
2971,Pies / dog,DOG
2972,Mama,MOM
2973,Nie chcę ,DONT-WANT
2974,Amazement / wow! ,WOW
2975,Miś / teddy bear,TEDDY-BEAR
2976,Nóż / knife ,KNIFE
2977,Zółty,YELLOW
2978,Tata,DAD
2979,Cześć ,HI
2980,Downstairs / iść na dół,DOWNSTAIRS
2981,I want,WANT
2982,My daughter's name,SELF
2983,Mine,MY
2984,Dziecko / brst Pucia ,BABY
2985,Tak,YES
2986,Usiąddź / sit down ,SIT
2987,"Press, nacisnąć",PRESS
2988,Plecy / z tyłu ,BACK
2989,Tak,YES
2990,Dziecko ,BABY
2991,Piłka,BALL
2992,Jajko / egg,EGG
2993,Doll / lalka,DOLL
2994,Łoś / moose ,MOOSE
2995,To push /popchnąć ,PUSH
2996,Turtle / żółw ,TURTLE
2997,Adam,PERSON
2998,Ala,PERSON
2999,Koń,HORSE
3000,Tata,DAD
3001,Naśladuje odgłos szczekania,DOG
3002,Misia - siostra Pucia,CHARACTER
3003,Miś - zabawka,TEDDY-BEAR
3004,Pan,MAN
3005,"Nunuś, brat Kici Koci",CHARACTER
3006,"Do góry, mówione przy podnoszeniu",UP
3007,Na dół,DOWNSTAIRS
3008,Piłka,BALL
3009,Arbuz,WATERMELON
3010,Samochód,CAR
3011,Tramwaj,TRAM
3012,Mama,MOM
3013,"Miał, kotek",CAT
3014,Krowa,COW
3015,Nie,NO
3016,Myszka,MOUSE
3017,"Kąpu kąpu, kąpiel ",BATH
3018,Kredki,CRAYONS
3019,"Ała, boli",HURTS
3020,Kąpiel (mówimy kąpu kąpu) ,BATH
3021,Oko,EYE
3022,"Słoń, ddźwięk wydawany przez słonia ",ELEPHANT
3023,Ciasto,CAKE
3024,Las,FOREST
3025,"Na lody, lody",ICE-CREAM
3026,"Na lody, lody",ICE-CREAM
3027,Kasztan,CHESTNUT
3028,Kasztan,CHESTNUT
3029,Liść,LEAF
3030,Liść,LEAF
3031,"Zosia, jej imię ",SELF
3032,"Zosia, jej imię ",SELF
3033,"But, buty",SHOES
3034,Katar,RUNNY-NOSE
3035,Miś,TEDDY-BEAR
3036,Piłka,BALL
3037,Traktor,TRACTOR
3038,Dzik,BOAR
3039,Trąbienie samochodu,HONK
3040,Bóbr ,BEAVER
3041,"Kaczka, kwakanie",DUCK
3042,źle ,BAD
3043,Szyszka,CONE
3044,Mam,HAVE
3045,Ser,CHEESE
3046,Dynia,PUMPKIN
3047,Alarm,ALARM
3048,"Jajko, jajka",EGG
3049,Dżem,JAM
3050,Ani jednego,NOT-ONE
3051,Nóż ,KNIFE
3052,Garaż,GARAGE
3053,Obiad,DINNER
3054,Gofry,WAFFLE
3055,"Inny, inna, inne",OTHER
3056,Mokra,WET
3057,Rura,PIPE
3058,Danusia (babcia) ,GRANDMA
3059,"Na dół, usiąddź ",DOWN
3060,Sucha ,DRY
3061,Mucha,FLY
3062,"Do góry, mówione przy podnoszeniu, usiąddź",SIT
3063,"Do góry, mówione przy podnoszeniu, usiąddź",UP
3064,"Ała, boli",HURTS
3065,Mama,MOM
3066,Mama,MOM
3067,Tramwaj,TRAM
3068,Banan,BANANA
3069,Placek,PANCAKE
3070,"światło, lampa, latarnia ",LAMP
3071,"światło, lampa, latarnia ",LAMP-POST
3072,"światło, lampa, latarnia ",LIGHT
3073,Ogon,TAIL
3074,Wróble,SPARROW
3075,Moja Zosia,PERSON
3076,Oliwka,PERSON
3077,śliniak,BIB
3078,"Bilet, bilety",TICKET
3079,"Balon z koszem, latajacy",AIR-BALLOON
3080,Księżyc,MOON
3081,Czyta,READ
3082,Kogut,COCK
3083,Kość,BONE
3084,Miód,HONEY
3085,Ul,HIVE
3086,Papuga,PARROT
3087,"Chodzić, biegać ",RUNNING
3088,"Chodzić, biegać ",WALKING
3089,Mgła,FOG
3090,Okulary,GLASSES
3091,Obrus,TABLECLOTH
3092,"Hania, imię babci ",GRANDMA
3093,"Skakać, podnosić kogoś do góry za ręce (jeden rodzic za jedną rękę, drugi rodzic za drugą)",JUMP
3094,"Nogą, nóżka ",LEG
3095,Sama,BY-MYSELF
3096,"Halo, udając, że do kogoś dzwoni",HELLO
3097,"Gosia, imię mamy",MOM
3098,"Kacper, imię taty",DAD
3099,Krem,CREAM
3100,Miś,TEDDY-BEAR
3101,Nóż,KNIFE
3102,Okulary,GLASSES
3103,Osioł ,DONKEY
3104,śliniak,BIB
3105,"Grzegorz, imię dziadków ",GRANDPA
3106,"Klikać, naciskać przyciski na tel lub klawiaturze ",CLICK
3107,Nos,NOSE
3108,"Przytulać, tulić",HUG
3109,Tańczyć,DANCE
3110,śpiewać ,SING
3111,Jeż,HEDGEHOG
3112,Hipopotam ,HIPPO
3113,Czyste,CLEAN
3114,Kaczor,DUCK
